Model,Avg GLEU,Avg Exact Match,Num Samples,Error
StableCode-Instruct-3B,0.08248750196090941,0.0,10,
Llama-3-8B-Instruct,0.22228799775984664,0.0,10,
CodeLlama-13B-Instruct,,,0,"CUDA out of memory. Tried to allocate 136.00 MiB. GPU 0 has a total capacity of 15.92 GiB of which 0 bytes is free. Of the allocated memory 28.62 GiB is allocated by PyTorch, and 1.06 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
Llama-3.1-8B-Instruct,0.40125366418049346,0.1,10,
CodeLlama-7B-Instruct,0.24905750442631747,0.0,10,
Gemma-2-9B-IT,0.35851406453988954,0.1,10,
CodeGemma-7B-IT,0.34824447115695323,0.0,10,
